CITY MILK 木瓜牛奶,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=53627452
ipartea茶聚,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=53841919
先喝道,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=53951936
吉龍糖黑糖茶飲專賣,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=54027202-1
Krispy Kreme Doughnuts,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=54055473
Jamba Juice,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=54055473-1
台茶1号,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=54128834
麻古茶坊,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=54213331
可不可熟成紅茶,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=54231252
樂法,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=54688322
籠町茶番,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=54728963
路易莎咖啡,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=54857699
JIATE,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=55199602
不要對我尖叫,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=55679567
春陽茶事,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=55822016
樺達奶茶,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=57944697
老虎堂黑糖專賣店,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=62192859
清心福全,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=80582719
日出茶太Chatime,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=80671769
歇腳亭SHARE TEA,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=80676602
翰林茶館HANLIN TEA ROOM,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=84957153
大墩店,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=86330228
大潤發,https://foodtracer.taipei.gov.tw/Front/Ice/Product?id=97165560
